<date>,<ticker>,<open>,<high>,<low>,<close>,<volume>
11/13/2015,ABDA,7075,7075,7075,7075,0
11/12/2015,ABDA,7075,7075,7075,7075,0
11/11/2015,ABDA,7075,7075,7075,7075,0
11/10/2015,ABDA,7075,7075,7075,7075,0
11/9/2015,ABDA,7075,7075,7075,7075,0
11/13/2015,ABBA,50,50,50,50,0
11/12/2015,ABBA,50,50,50,50,0
11/11/2015,ABBA,50,50,50,50,1400
11/10/2015,ABBA,50,50,50,50,0
11/9/2015,ABBA,50,50,50,50,2000
11/13/2015,ADMF,3800,3800,3690,3690,26600
11/12/2015,ADMF,3770,3800,3760,3760,99400
11/11/2015,ADMF,3850,3850,3760,3760,94600
11/10/2015,ADMF,3880,3880,3800,3800,29200
11/9/2015,ADMF,3840,3845,3800,3800,10800
11/13/2015,ADRO,600,610,580,580,41801100
11/12/2015,ADRO,640,645,610,610,30923600
11/11/2015,ADRO,615,645,605,640,55608800
11/10/2015,ADRO,615,635,610,610,21585100
11/9/2015,ADRO,630,640,615,615,33695000
11/13/2015,AKSI,125,125,125,125,0
11/12/2015,AKSI,125,125,125,125,0
11/11/2015,AKSI,125,125,125,125,0
11/10/2015,AKSI,125,125,125,125,0
11/9/2015,AKSI,125,125,125,125,0
11/13/2015,ADMG,92,96,92,95,5004400
11/12/2015,ADMG,93,93,92,92,560400
11/11/2015,ADMG,95,95,92,93,2326000
11/10/2015,ADMG,92,96,91,95,11401400
11/9/2015,ADMG,92,93,91,93,2847600
11/13/2015,ADES,1030,1030,1000,1000,2500
11/12/2015,ADES,1000,1000,1000,1000,10000
11/11/2015,ADES,1040,1040,1005,1005,14700
11/10/2015,ADES,1005,1005,1005,1005,6400
11/9/2015,ADES,1005,1005,1005,1005,7000
11/13/2015,ALDO,690,695,690,695,89300
11/12/2015,ALDO,685,690,685,690,77800
11/11/2015,ALDO,685,685,680,685,52300
11/10/2015,ALDO,680,685,680,685,79500
11/9/2015,ALDO,680,685,680,685,75800
